pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,dec,st_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,pl_cbflag,pl_eqt,pl_insol,pl_masse,pl_msinie,pl_rade,pl_radj,pl_trandep,pl_trandur,pl_imppar,pl_disc,pl_status,gaia_dist,st_spstr,st_logg,st_metfe,st_age,pl_facility
Kepler-1570,b,Transit,1,26.54895500,,,,1,0,19h59m26.84s,+45d49m38.5s,299.861833,45.827354,463.00,13.961,Kepler-band,13.970,5550.00,0.92,0.89,0,,,,,1.070,0.095,,0.3324600,,2016,3,943.83,,4.50,-0.040,4.170,Kepler
Kepler-1571,b,Transit,1,3.38555488,,,,1,0,20h03m44.50s,+45d35m47.6s,300.935406,45.596546,802.00,13.767,Kepler-band,13.770,6297.00,1.23,1.39,0,,,,,1.520,0.136,,0.0797500,,2016,3,688.64,,4.24,0.040,2.340,Kepler
Kepler-1573,b,Transit,1,2.61575540,,,,1,0,19h31m57.20s,+49d29m05.9s,292.988348,49.484970,1180.00,15.180,Kepler-band,15.169,5808.00,1.01,1.00,0,,,,,1.200,0.107,,0.1099600,,2016,3,1518.60,,4.44,0.020,4.070,Kepler
Kepler-1574,b,Transit,1,6.94243340,,,,1,0,19h28m38.08s,+49d38m15.9s,292.158664,49.637760,1275.00,15.158,Kepler-band,15.094,5892.00,1.06,1.08,0,,,,,1.290,0.115,,0.1413000,,2016,3,1441.27,,4.40,0.080,3.800,Kepler
Kepler-1575,b,Transit,1,2.55314213,,,,1,0,19h34m58.38s,+45d45m41.7s,293.743250,45.761597,1170.00,15.424,Kepler-band,15.418,5667.00,0.95,0.92,0,,,,,1.310,0.117,,0.0774200,,2016,3,1292.46,,4.49,-0.070,4.170,Kepler
Kepler-1577,b,Transit,1,6.30560247,,,,1,0,19h31m49.27s,+47d34m23.2s,292.955275,47.573105,543.00,15.056,Kepler-band,15.057,4862.00,0.78,0.74,0,,,,,1.130,0.101,,0.1028300,,2016,3,517.56,,4.60,0.000,4.270,Kepler
Kepler-1578,b,Transit,1,1.45088691,,,,1,0,19h13m12.48s,+47d46m32.0s,288.302000,47.775555,1016.00,15.369,Kepler-band,15.328,5545.00,0.90,0.86,0,,,,,1.040,0.093,,0.0742100,,2016,3,1096.87,,4.53,-0.130,4.270,Kepler
Kepler-1579,b,Transit,1,0.84990789,,,,1,0,19h33m09.12s,+43d30m54.0s,293.288009,43.514988,466.00,15.220,Kepler-band,15.248,4584.00,0.75,0.70,0,,,,,0.840,0.075,,0.0455210,,2016,3,370.61,,4.63,0.110,2.240,Kepler
Kepler-1580,b,Transit,1,56.64492790,,,,1,0,19h03m52.49s,+41d21m48.8s,285.968722,41.363559,872.00,12.561,Kepler-band,12.576,6228.00,1.47,2.15,0,,,,,2.110,0.188,,0.6282900,,2016,3,1031.50,,3.94,0.120,2.750,Kepler
Kepler-1582,b,Transit,1,4.83817712,,,,1,0,19h17m30.40s,+41d09m31.0s,289.376650,41.158613,112.00,17.058,Kepler-band,16.414,3208.00,0.28,0.30,0,,,,,1.490,0.133,,0.0525000,,2016,3,79.07,,4.93,0.480,7.760,Kepler
Kepler-1583,b,Transit,1,9.32807355,,,,1,0,19h05m32.86s,+47d00m59.9s,286.386934,47.016628,357.00,12.897,Kepler-band,12.841,5645.00,0.94,0.91,0,,,,,0.600,0.054,,0.1640000,,2016,3,408.69,,4.49,-0.070,4.270,Kepler
Kepler-1584,b,Transit,1,13.39970990,,,,1,0,19h11m03.04s,+43d16m27.9s,287.762683,43.274429,1325.00,14.924,Kepler-band,14.884,6069.00,1.10,1.13,0,,,,,1.610,0.144,,0.1471700,,2016,3,1476.59,,4.37,0.000,3.310,Kepler
Kepler-1585,b,Transit,1,3.58274630,,,,1,0,19h44m38.16s,+44d33m47.2s,296.159005,44.563114,1269.00,15.965,Kepler-band,15.977,5538.00,0.94,0.91,0,,,,,1.790,0.160,,0.0642100,,2016,3,969.44,,4.50,0.080,4.370,Kepler
Kepler-1587,b,Transit,1,9.40604670,,,,1,0,19h30m42.65s,+49d39m50.1s,292.677726,49.663910,907.00,14.090,Kepler-band,14.032,5933.00,1.08,1.22,0,,,,,1.330,0.119,,0.2150400,,2016,3,1057.69,,4.30,0.070,5.010,Kepler
Kepler-1588,b,Transit,1,7.84931739,,,,1,0,19h12m55.85s,+48d00m07.8s,288.232715,48.002178,658.00,13.858,Kepler-band,13.821,5817.00,0.96,0.99,0,,,,,0.760,0.068,,0.1556700,,2016,3,949.35,,4.43,-0.140,5.500,Kepler
Kepler-1589,b,Transit,1,0.99166527,,,,1,0,19h37m46.03s,+40d34m18.1s,294.441792,40.571686,1418.00,14.978,Kepler-band,14.965,6166.00,1.18,1.25,0,,,,,1.090,0.097,,0.0990800,,2016,3,1579.38,,4.32,0.080,2.750,Kepler
Kepler-1591,b,Transit,1,8.18504949,,,,1,0,19h46m04.00s,+44d36m31.0s,296.516659,44.608608,1090.00,14.686,Kepler-band,14.658,6082.00,1.10,1.16,0,,,,,1.270,0.113,,0.1755800,,2016,3,1478.62,,4.35,0.010,3.240,Kepler
Kepler-1592,b,Transit,1,3.05710069,,,,1,0,19h35m24.16s,+38d23m51.9s,293.850646,38.397749,1349.00,14.803,Kepler-band,14.786,6213.00,1.18,1.28,0,,,,,1.540,0.137,,0.1467900,,2016,3,1717.89,,4.29,0.040,2.690,Kepler
Kepler-1593,b,Transit,1,174.50983500,,,,1,0,20h01m57.16s,+44d27m38.4s,300.488180,44.460670,755.00,15.873,Kepler-band,15.884,4995.00,0.81,0.77,0,,,,,3.170,0.283,,0.2957500,,2016,3,649.83,,4.59,0.020,3.630,Kepler
Kepler-1594,b,Transit,1,2.71603809,,,,1,0,19h34m29.54s,+47d57m42.9s,293.623090,47.961914,1100.00,14.801,Kepler-band,14.741,5946.00,1.06,1.08,0,,,,,1.060,0.095,,0.0774600,,2016,3,1004.80,,4.39,0.030,3.890,Kepler
Kepler-1596,b,Transit,1,66.37337900,,,,1,0,19h02m13.80s,+49d19m48.3s,285.557511,49.330074,1166.00,15.370,Kepler-band,15.366,5706.00,0.95,0.92,0,,,,,1.900,0.170,,0.4658700,,2016,3,2295.01,,4.49,-0.110,3.890,Kepler
Kepler-1597,b,Transit,1,2.94654179,,,,1,0,19h12m39.35s,+42d28m51.9s,288.163973,42.481083,1255.00,14.144,Kepler-band,14.115,6377.00,1.25,1.39,0,,,,,1.060,0.095,,0.1367000,,2016,3,1265.57,,4.24,0.020,2.400,Kepler
Kepler-345,b,Transit,2,7.41556300,0.066000,,,1,0,19h40m54.91s,+45d58m15.7s,295.228802,45.971020,260.00,14.028,Kepler-band,14.034,4504.00,,0.62,0,,,,,0.740,0.066,,0.0821000,0.1500,2014,3,362.46,,4.68,,,Kepler
Kepler-346,b,Transit,2,6.51112700,0.071000,,,1,0,19h12m02.86s,+46d07m03.4s,288.011911,46.117607,1032.00,15.214,Kepler-band,15.155,6033.00,,1.02,0,,,,,2.660,0.237,,0.0629000,0.3200,2014,3,1012.42,,4.46,,,Kepler
Kepler-346,c,Transit,2,23.85154900,0.168000,,,1,0,19h12m02.86s,+46d07m03.4s,288.011911,46.117607,1032.00,15.214,Kepler-band,15.155,6033.00,,1.02,0,,,,,3.070,0.274,,0.0994000,0.6300,2014,3,1012.42,,4.46,,,Kepler
Kepler-347,b,Transit,2,12.79836000,0.110000,,,1,0,19h16m47.90s,+49d18m20.6s,289.199596,49.305717,950.00,14.513,Kepler-band,14.489,6088.00,,1.00,0,,,,,1.970,0.176,,0.2602000,0.7100,2014,3,1349.45,,4.47,,,Kepler
Kepler-348,b,Transit,2,7.05677000,0.076000,,,1,0,19h49m01.21s,+40d32m54.1s,297.255050,40.548373,623.00,12.556,Kepler-band,12.588,6177.00,,1.36,0,,,,,1.520,0.136,,0.0795000,0.0500,2014,3,580.20,,4.24,,,Kepler
Kepler-348,c,Transit,2,17.26542700,0.138000,,,1,0,19h49m01.21s,+40d32m54.1s,297.255050,40.548373,623.00,12.556,Kepler-band,12.588,6177.00,,1.36,0,,,,,1.330,0.119,,0.2161000,0.6200,2014,3,580.20,,4.24,,,Kepler
Kepler-349,b,Transit,2,5.92977800,0.065000,,,1,0,19h34m42.36s,+44d36m56.1s,293.676480,44.615578,1172.00,14.746,Kepler-band,14.721,5956.00,,0.93,0,,,,,1.900,0.170,,0.0985000,0.4800,2014,3,966.63,,4.52,,,Kepler
Kepler-350,b,Transit,3,11.18956200,0.104000,,,1,0,19h01m40.71s,+39d42m22.0s,285.419606,39.706107,931.00,13.781,Kepler-band,13.761,6186.00,,1.53,0,,,,,1.850,0.165,,0.2133000,0.3800,2014,3,983.79,,4.15,,,Kepler
Kepler-350,c,Transit,3,17.84900000,,,,1,0,19h01m40.71s,+39d42m22.0s,285.419606,39.706107,931.00,13.781,Kepler-band,13.761,6186.00,,1.53,0,,,6.10000,,3.100,0.277,,,,2013,3,983.79,,4.15,,,Kepler
Kepler-350,d,Transit,3,26.13600000,,,,1,0,19h01m40.71s,+39d42m22.0s,285.419606,39.706107,931.00,13.781,Kepler-band,13.761,6186.00,,1.53,0,,,14.90000,,2.800,0.250,,,,2013,3,983.79,,4.15,,,Kepler
Kepler-351,b,Transit,3,37.05491900,0.214000,,,1,0,19h05m48.65s,+42d39m28.4s,286.452706,42.657879,1078.00,15.990,Kepler-band,15.966,5643.00,,0.85,0,,,,,3.060,0.273,,0.2134000,0.8600,2014,3,1117.85,,4.56,,,Kepler
Kepler-352,b,Transit,2,10.05537000,0.085000,,,1,0,19h59m35.17s,+46d03m07.1s,299.896521,46.051975,279.00,12.957,Kepler-band,12.956,5212.00,,0.78,0,,,,,0.860,0.077,,0.1235000,0.2600,2014,3,254.59,,4.57,,,Kepler
Kepler-352,c,Transit,2,16.33299500,0.118000,,,1,0,19h59m35.17s,+46d03m07.1s,299.896521,46.051975,279.00,12.957,Kepler-band,12.956,5212.00,,0.78,0,,,,,1.240,0.111,,0.0884000,0.1200,2014,3,254.59,,4.57,,,Kepler
Kepler-353,b,Transit,2,5.79527800,0.051000,,,1,0,19h47m25.59s,+41d45m29.4s,296.856633,41.758180,333.00,15.773,Kepler-band,15.725,3903.00,,0.50,0,,,,,0.890,0.079,,0.0910000,0.2700,2014,3,388.92,,4.75,,,Kepler
Kepler-354,b,Transit,3,5.47666000,0.054000,,,1,0,19h03m00.35s,+41d20m08.3s,285.751452,41.335640,574.00,15.549,Kepler-band,15.556,4648.00,,0.67,0,,,,,1.840,0.164,,0.1043000,0.7300,2014,3,562.96,,4.63,,,Kepler
Kepler-354,c,Transit,3,16.93440200,0.115000,,,1,0,19h03m00.35s,+41d20m08.3s,285.751452,41.335640,574.00,15.549,Kepler-band,15.556,4648.00,,0.67,0,,,,,1.310,0.117,,0.1440000,0.6300,2014,3,562.96,,4.63,,,Kepler
Kepler-354,d,Transit,3,24.20984200,0.146000,,,1,0,19h03m00.35s,+41d20m08.3s,285.751452,41.335640,574.00,15.549,Kepler-band,15.556,4648.00,,0.67,0,,,,,1.240,0.111,,0.1822000,0.1600,2014,3,562.96,,4.63,,,Kepler
Kepler-355,c,Transit,2,25.76229400,0.179000,,,1,0,19h03m11.87s,+42d48m42.4s,285.799457,42.811783,1143.00,15.087,Kepler-band,15.066,6184.00,,1.07,0,,,,,2.710,0.242,,0.2840000,0.2600,2014,3,1493.70,,4.44,,,Kepler
Kepler-356,b,Transit,2,4.61269600,0.057000,,,1,0,19h29m41.06s,+37d40m58.1s,292.421077,37.682819,639.00,12.992,Kepler-band,12.965,6133.00,,1.33,0,,,,,1.570,0.140,,0.1238000,0.2600,2014,3,722.14,,4.26,,,Kepler
Kepler-356,c,Transit,2,13.12163200,0.115000,,,1,0,19h29m41.06s,+37d40m58.1s,292.421077,37.682819,639.00,12.992,Kepler-band,12.965,6133.00,,1.33,0,,,,,1.810,0.161,,0.1511000,0.1600,2014,3,722.14,,4.26,,,Kepler
Kepler-357,b,Transit,3,6.47543400,0.063000,,,1,0,19h24m58.34s,+44d00m31.4s,291.243104,44.008720,741.00,15.565,Kepler-band,15.522,5036.00,,0.83,0,,,,,1.840,0.164,,0.1105000,0.2700,2014,3,702.21,,4.50,,,Kepler
Kepler-357,d,Transit,3,49.49987500,0.246000,,,1,0,19h24m58.34s,+44d00m31.4s,291.243104,44.008720,741.00,15.565,Kepler-band,15.522,5036.00,,0.83,0,,,,,3.430,0.306,,0.2747000,0.9100,2014,3,702.21,,4.50,,,Kepler
Kepler-358,b,Transit,2,34.06046700,0.210000,,,1,0,19h32m55.25s,+48d16m53.0s,293.230225,48.281376,1067.00,15.375,Kepler-band,15.356,5908.00,,0.95,0,,,,,2.720,0.243,,0.1025000,0.3800,2014,3,1136.10,,4.50,,,Kepler
Kepler-358,c,Transit,2,83.48836900,0.381000,,,1,0,19h32m55.25s,+48d16m53.0s,293.230225,48.281376,1067.00,15.375,Kepler-band,15.356,5908.00,,0.95,0,,,,,2.850,0.254,,0.2537000,0.2500,2014,3,1136.10,,4.50,,,Kepler
Kepler-359,c,Transit,3,57.68802000,0.307000,,,1,0,19h33m10.47s,+42d11m46.9s,293.293635,42.196354,2037.00,15.886,Kepler-band,15.881,6248.00,,1.09,0,,,,,4.300,0.384,,0.1734000,0.0600,2014,3,1502.22,,4.43,,,Kepler
WASP-98,b,Transit,1,2.96264036,0.037620,,86.380,0,0,03h53m42.91s,-34d19m41.5s,58.428794,-34.328194,284.05,,,12.868,5473.00,0.81,0.74,0,1171,,293.03926,,12.823,1.144,,,,2014,3,284.05,G7,4.61,-0.490,2.700,SuperWASP
WASP-99,b,Transit,1,5.75251000,,0.000000,88.800,0,0,02h39m35.45s,-50d00m28.8s,39.897688,-50.008003,159.39,,,9.325,6150.00,1.21,1.64,0,,,772.32690,,11.433,1.020,0.410000,,,2014,3,159.39,F8,4.30,0.210,,SuperWASP
WASP-100,b,Transit,1,2.84938000,,0.000000,82.600,0,0,04h35m50.33s,-64d01m37.3s,68.959728,-64.027039,368.28,,,10.615,6900.00,0.77,1.57,0,,,400.46580,,14.908,1.330,0.760000,,,2014,3,368.28,F2,4.35,-0.030,,SuperWASP
WASP-101,b,Transit,1,3.58572000,,0.000000,85.000,0,0,06h33m24.26s,-23d29m10.4s,98.351102,-23.486210,202.39,,,10.138,6380.00,1.41,1.31,0,,,162.09330,,16.029,1.430,1.300000,,,2014,3,202.39,F6,4.31,0.200,,SuperWASP
